성별,연령대,기간,카테고리,브랜드명,상품명,정상가,할인가,할인율(%),상품URL,이미지URL
남성,35-39세,1주,전체,무신사 스탠다드 스포츠,코어 패딩 자켓 (6colors),99900,94890,5,https://www.musinsa.com/products/3470403,https://image.msscdn.net/thumbnails/images/goods_img/20230817/3470403/3470403_17616142025365_500.jpg?w=780
남성,35-39세,1주,전체,에스피오나지,Selvedge Relaxed Denim Pants Dark Indigo,116000,92800,20,https://www.musinsa.com/products/4398163,https://image.msscdn.net/thumbnails/images/goods_img/20240903/4398163/4398163_17254995675022_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,테이퍼드 히든 밴딩 크롭 슬랙스 [블랙],39900,35990,10,https://www.musinsa.com/products/1149328,https://image.msscdn.net/thumbnails/images/goods_img/20190910/1149328/1149328_17222375113367_500.jpg?w=780
남성,35-39세,1주,전체,나이키,스트럭처 26 M - 토탈 오렌지:토탈 크림슨:초크:블랙 / HJ1102-800,169000,101400,40,https://www.musinsa.com/products/5205577,https://image.msscdn.net/thumbnails/images/goods_img/20250625/5205577/5205577_17513279308208_500.jpg?w=780
남성,35-39세,1주,전체,노스페이스,NV3NR50A 눕시 온볼 베스트_BLACK,199000,199000,5,https://www.musinsa.com/products/4989964,https://image.msscdn.net/thumbnails/images/goods_img/20250404/4989964/4989964_17437515585448_500.jpg?w=780
남성,35-39세,1주,전체,폴로 랄프 로렌,바이스윙 윈드브레이커 - 블랙,349000,349000,0,https://www.musinsa.com/products/1620287,https://image.msscdn.net/thumbnails/images/goods_img/20200923/1620287/1620287_2_500.jpg?w=780
남성,35-39세,1주,전체,폴로 랄프 로렌,[White Collection] 커스텀핏 클래식 옥스포드 셔츠  - 화이트,199000,199000,0,https://www.musinsa.com/products/2406919,https://image.msscdn.net/thumbnails/images/goods_img/20220308/2406919/2406919_4_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,스웨트셔츠 [블랙],29900,25490,15,https://www.musinsa.com/products/947067,https://image.msscdn.net/thumbnails/images/goods_img/20190201/947067/947067_17641181220326_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,시티 레저 시어 립스탑 후디드 라이트 다운 재킷 [블랙],129900,129900,0,https://www.musinsa.com/products/5215532,https://image.msscdn.net/thumbnails/images/goods_img/20250701/5215532/5215532_17580948242906_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,시티 레저 다운 패딩 베스트 [블랙],129900,97490,25,https://www.musinsa.com/products/3378526,https://image.msscdn.net/thumbnails/images/goods_img/20230622/3378526/3378526_17133382296821_500.jpg?w=780
남성,35-39세,1주,전체,무신사 스탠다드,미니멀 후디드 다운 숏 패딩 재킷 [다크 그레이],169900,118990,30,https://www.musinsa.com/products/4209578,https://image.msscdn.net/thumbnails/images/goods_img/20240620/4209578/4209578_17296475688188_500.jpg?w=780
남성,35-39세,1주,전체,블랙야크,남성 히마 WSP 숏 다운자켓#1_BK,499000,389000,22,https://www.musinsa.com/products/5528981,https://image.msscdn.net/thumbnails/images/goods_img/20250925/5528981/5528981_17587748036873_500.jpg?w=780
